Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Home,Ono,Pass,0,0,100,100,-,-
Home,Picha,RecPass,0,0,95,63,-,-
Home,Picha,Pass,0,0,95,63,-,-
Home,Supanan,RecPass,0,0,96,45,-,-
Home,Supanan,shootNo,0,0,96,45,-,-
Home,Supanan,fromGoal,0,0,100,50,-,-
Home,Aris,getBall,0,0,97,54,-,-
Home,Aris,Shot,0,0,97,54,-,-
Home,Aris,fromGoal,0,0,100,54,-,-
