Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Home,suphanan,ShotOnTargetHead,42,1,95,47,-,-
Home,aris,ShotGetGoalHead,42,1,97,55,-,-
Home,chayawat,ShotBlockRight,41,56,89,48,-,-
Home,suphanan,ShotOffTargetRight,41,56,79,72,-,-
Home,pedro,ShotBlockRight,42,1,82,57,-,-
Home,pedro,ShotBlockLeft,42,1,83,66,-,-
Home,suphanan,ShotOffTargetHead,42,1,92,58,-,-
Home,jaroensak,ShotOffTargetRight,42,1,81,21,-,-
Home,pedro,ShotBlockRight,42,1,81,34,-,-
Home,suphanan,ShotOffTargetRight,42,1,89,46,-,-
