Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Home,Heberty,Pass,0,2,54,51,57,90
Home,Do,Pass,0,2,57,90,33,83
Home,Putthinan,Pass,0,2,33,81,11,60
Home,Falkesgaard,Pass,0,2,10,59,11,86
Home,Putthinan,Pass,0,2,24,86,28,68
Home,Wisarut,Pass,0,2,27,74,12,68
Home,Bihr,Pass,0,2,23,50,32,9
Home,Peerapat,Pass,0,2,32,10,31,30
Home,Peerapat,Pass,0,2,32,7,16,18
Home,Everton,Pass,0,2,23,22,19,71
Home,Putthinan,Through,0,2,24,88,48,93
Home,Do,Through,0,2,46,93,55,92
Away,Sulaka,intercept,0,2,59,93,-,-
Home,Putthinan,Cross,1,28,23,92,76,79
Away,Siwarak,Pass,1,28,90,56,82,49
Away,Digao,Pass,1,28,77,36,71,20
Away,Pansa,Pass,1,28,72,22,77,34
Away,Digao,Through,1,28,71,49,60,92
Away,Piyaphon,intercept,1,28,57,87,-,-
Home,Wisarut,Pass,1,28,44,77,29,60
Home,Bihr,Pass,1,28,29,59,31,78
Home,Putthinan,Pass,1,28,31,77,51,89
Home,Thitipan,Pass,1,28,54,90,69,96
Home,Do,Pass,1,28,63,93,52,75
Away,Supachai,getball,1,28,56,80,-,-
Home,Thitipan,intercept,2,12,55,92,-,-
Home,Bihr,clear,2,12,19,68,-,-
Home,Pokklaw,Pass,2,12,26,50,13,53
Home,Putthinan,Pass,2,12,24,88,48,91
Home,Thitipan,Pass,2,12,47,91,25,58
Home,Bihr,Pass,2,12,24,47,26,20
Home,Everton,Pass,2,12,31,7,24,25
Home,Bihr,Pass,2,12,24,42,24,65
Home,Putthinan,Pass,2,7,22,71,44,79
Home,Thitipan,Cross,2,7,45,81,55,61
Away,Peeradon,Through,2,7,53,51,35,64
Home,Wisarut,intercept,2,7,28,52,-,-
Home,Everton,Pass,3,41,27,33,42,31
Home,Heberty,Pass,3,41,45,16,36,7
Away,Rattanakorn,getball,3,36,55,15,-,-
Away,Rattanakorn,Pass,3,36,55,19,45,34
Away,Rosa,Pass,3,36,42,35,53,32
Away,Peeradon,Pass,3,36,53,30,71,25
Away,Digao,Pass,3,36,72,26,59,38
Away,Peeradon,Pass,3,36,56,57,46,73
Away,Peeradon,Pass,3,36,53,56,56,18
Away,Jakkaphan,Pass,3,36,45,72,53,64
Away,Digao,Pass,3,36,63,46,58,75
Away,Sulaka,Pass,3,36,59,71,43,87
Away,Jakkaphan,Cross,3,36,39,89,34,44
Home,Everton,clear,3,36,30,45,-,-
Away,Pansa,Through,3,36,68,24,34,5
Away,Narubodin,Pass,3,36,36,6,30,16
Away,Supachai,Pass,3,36,40,31,60,57
Away,Sulaka,Pass,3,36,59,62,48,68
Away,Piyaphon,Pass,3,36,45,71,51,47
Away,Peeradon,Pass,3,36,51,54,65,70
Away,Sulaka,Cross,3,36,66,73,24,0
Home,Wisarut,Pass,3,36,31,14,26,2
Home,Peerapat,Pass,4,14,20,2,38,15
Home,Pokklaw,Pass,4,14,34,14,23,20
Home,Wisarut,Cross,4,14,24,24,74,29
Away,Sulaka,getball,4,14,74,24,-,-
Away,Sulaka,Pass,4,14,75,28,68,36
Away,Digao,Pass,4,14,68,38,60,34
Away,Peeradon,Pass,4,14,60,23,59,8
Away,Pansa,Pass,4,14,60,7,41,5
Away,Narubodin,Pass,4,14,40,5,56,14
Away,Pansa,Pass,4,14,64,11,76,30
Away,Sulaka,Pass,4,14,67,23,73,57
Away,Digao,Pass,4,14,73,58,92,50
Away,Siwarak,Pass,4,14,91,47,72,5
Away,Pansa,Cross,4,14,73,5,28,6
Home,Everton,yellow,4,14,29,7,-,-
Away,Rattanakorn,Cross,4,14,30,11,10,58
Home,Putthinan,clear,4,14,11,59,-,-
Away,Jakkaphan,Cross,4,14,5,74,10,39
